handleId,fieldType,name,description,productImageUrl,collection,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,cost,productOptionName1,productOptionType1,productOptionDescription1,productOptionName2,productOptionType2,productOptionDescription2,productOptionName3,productOptionType3,productOptionDescription3,productOptionName4,productOptionType4,productOptionDescription4,productOptionName5,productOptionType5,productOptionDescription5,productOptionName6,productOptionType6,productOptionDescription6,additionalInfoTitle1,additionalInfoDescription1,additionalInfoTitle2,additionalInfoDescription2,additionalInfoTitle3,additionalInfoDescription3,additionalInfoTitle4,additionalInfoDescription4,additionalInfoTitle5,additionalInfoDescription5,additionalInfoTitle6,additionalInfoDescription6,customTextField1,customTextCharLimit1,customTextMandatory1,customTextField2,customTextCharLimit2,customTextMandatory2,brand
product_3b6a6911-44a3-0a4a-230c-374835bff34c,Product,Test 2,,a4c79b_e2800103af0e42c884c236468485e45f~mv2.png;a4c79b_9550d7fc04cc47c6bb0a4085b9c78b4a,,,,1.0,,false,PERCENT,0.0,InStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b0711b90-4d8e-bc1b-8cc2-ff8e6fde9585,Product,Animated Sleep wear.,,7ee6d5_6f589f90038b40958baaebf4eb8f6ef3~mv2.jpeg;7ee6d5_1c4171d0aac4428fbab019dfa7820b69~mv2.jpeg;7ee6d5_4aa0c022ef3848f4916c77048e681e74~mv2.jpeg;7ee6d5_102554e4063448d7ace9e41a17addf83~mv2.jpeg,Two Piece;Deals 2 for 150;Night Wear;Deals;Lounge Wear;New Arrivals,,New Arrivals,80.0,,true,PERCENT,0.0,0,,,Size,DROP_DOWN,Free size (8-14),Color,COLOR,"rgb(255,121,0):Orange;rgb(239,113,132):Light pink;#ffc0cb:Pink;rgb(136,89,89):Brown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b0711b90-4d8e-bc1b-8cc2-ff8e6fde9585,Variant,,,,,D5,,,,true,,,8,,,,,Free size (8-14),,,"rgb(239,113,132):Light pink",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b0711b90-4d8e-bc1b-8cc2-ff8e6fde9585,Variant,,,,,D5,,,,true,,,13,,,,,Free size (8-14),,,"rgb(136,89,89):Brown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b0711b90-4d8e-bc1b-8cc2-ff8e6fde9585,Variant,,,,,D5,,,,true,,,0,,,,,Free size (8-14),,,#ffc0cb:Pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_b0711b90-4d8e-bc1b-8cc2-ff8e6fde9585,Variant,,,,,D5,,,,true,,,2,,,,,Free size (8-14),,,"rgb(255,121,0):Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_859e94b0-4390-c605-9362-05247147df14,Product,U Cut Top,,7ee6d5_fd024369710c44e2b3bc1813db4e2367~mv2.png;7ee6d5_1c211514eda74e48be3ac51eec9ca416~mv2.png;7ee6d5_dff1098819ce4de4bf3146cde62eb5e5~mv2.png;7ee6d5_30a12b39d34d4425ac6eb4691fa44fd3~mv2.png;7ee6d5_1c50248ce09b4ffe80ca8effbcd55a47~mv2.png;7ee6d5_728ef28ff37b4b2ab652760e5ce2362f~mv2.png;7ee6d5_b48e97961aac491bbfa22c42a5fcfdc0~mv2.png;7ee6d5_271c1d3f01d94e7dacece38e531e3475~mv2.png;7ee6d5_3e42ac15d8c343eda13c72c250f2de2b~mv2.png;7ee6d5_6309988cd08e45029a5addf1a9625dcf~mv2.png,Deals 3 for 120;New Arrivals;Tops,C9,New Arrivals,50.0,,true,PERCENT,0.0,InStock,,,Size,DROP_DOWN,Free(8-14),Color,COLOR,"black:Black;rgb(239,0,126):Pink;rgb(163,0,33):Wine;rgb(255, 255, 255):White;rgb(6,148,148):Teal Green;rgb(128,128,128):Grey;rgb(255,149,0):Curry;rgb(0,0,255):Blue;rgb(239,113,132):Light pink;rgb(215,192,142):Apricot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_06714fd3-662f-5138-ce72-b82d91338c64,Product,3in1 Plain Tank Top,,7ee6d5_8cfaf09d7fbb4ac8869817563376bbe0~mv2.png;7ee6d5_d3dcbe84f864483b962e32a958f62854~mv2.png;7ee6d5_f13d6cfdc4884f1796c3f8b1203a6c8b~mv2.png;7ee6d5_e75b1180d2ea43f4bd4e5eb696a72ae6~mv2.png;7ee6d5_6a7c404c95e84d209555b87279adc0d2~mv2.png;7ee6d5_58d9a4514f184216a35e38b56f54f408~mv2.png;7ee6d5_20621ccce5394e3d8d13076dba9ed704~mv2.png;7ee6d5_709b63e9dacf42148385b2ef1ec24645~mv2.png;7ee6d5_b03e39e09bac4ff7ace74d12c9b11d33~mv2.png;7ee6d5_bea9fdaa213746028f35a14249d9211a~mv2.png,New Arrivals;Tops;Deals,,New Arrivals,100.0,,true,PERCENT,0.0,0,,,Size,DROP_DOWN,Free(6-14),Choices,DROP_DOWN,"Apricot, Curry, Grey;Pink, white, wine;Turquoise, White, Wine;Light pink, White, Blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_06714fd3-662f-5138-ce72-b82d91338c64,Variant,,,,,K10,,,,true,,,5,,,,,Free(6-14),,,"Pink, white, wine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
product_06714fd3-662f-5138-ce72-b82d91338c64,Variant,,,,,K10,,,,true,,,3,,,,,Free(6-14),,,"Turquoise, White, Wine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
