product,size,colour,units_sold_today,variant_stock_now,implied_count_last_night,channels
Amazon pants,XXL — 16,Brown,4,0,4,pos+storefront
Leather Corset,M — 10,Black,2,0,2,storefront
Cami workout set,M — 10,Grey,2,0,2,storefront
Large Aworshia Bag,,SeaBlue,2,0,2,pos+storefront
CLASSY LEATHER SLIPPERS,38,Peach,1,0,1,pos
COACH SIGNATURE SLIDE,40,Black,1,0,1,storefront
Cutout Halter Maxi Dress,M — 10,Red,1,0,1,pos
Denim Corset,M — 10,,1,0,1,storefront
EMPIRE SLIPPERS,38,Black,1,0,1,pos
Midi Dress,Free(10-16),Black,1,0,1,storefront
Silk shirt,Free(8-14),Gold,1,0,1,pos
V-Neck Basic Top,L — 12,Brown,1,0,1,storefront
V-Neck Basic Top,M — 10,Black,1,0,1,pos
V-Neck Basic Top,M — 10,Nude,1,0,1,storefront
V-Neck Basic Top,M — 10,White,1,0,1,pos
Balloon-Sleeve Mini Dress,XXL — 16,Apricot,1,0,1,storefront
Bare-Back Maxi Dress,M — 10,Peach,1,0,1,pos
BBL SET,XL — 14,ButterGreen,1,0,1,storefront
